Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2225715,"Call Me by Your Name (Call Me by Your Name, #1)",André Aciman,"Aciman, André",,"=""""","=""""",0,4.10,Picador,Paperback,248,2008,2007,,2024/08/25,"to-read, paper-collection","to-read (#356), paper-collection (#189)",to-read,,,,0,0
60217269,Verity,Colleen Hoover,"Hoover, Colleen",,"=""1408726602""","=""9781408726600""",0,4.30,Sphere,Paperback,321,2022,2018,,2022/02/28,"to-read, paper-collection, ebook-collection","to-read (#3), paper-collection (#120), ebook-collection (#217)",to-read,,,,0,0
60435878,Carrie Soto Is Back,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""0593158687""","=""9780593158685""",0,4.20,Ballantine Books,Hardcover,384,2022,2022,,2022/09/16,"to-read, ebook-collection","to-read (#228), ebook-collection (#128)",to-read,,,,0,0
62804258,"The Brothers Hawthorne (The Inheritance Games, #4)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""0316480770""","=""9780316480772""",0,3.91,"Little, Brown Books for Young Readers",Hardcover,480,2023,2023,,2023/09/08,"to-read, ebook-collection","to-read (#257), ebook-collection (#135)",to-read,,,,0,0
4788257,The Hound of the Baskervilles,Arthur Conan Doyle,"Doyle, Arthur Conan",Ruth Rendell,"=""""","=""""",4,4.13,Vintage Classics,Paperback,199,2008,1902,2022/12/11,2020/04/07,"paper-collection, read-paper, mystery","paper-collection (#151), read-paper (#69), mystery (#9)",read,,,,1,0
45885644,The Sun Down Motel,Simone St. James,"James, Simone St.",,"=""0440000173""","=""9780440000174""",4,4.00,Berkley,Hardcover,327,2020,2020,2022/03/03,2021/03/12,"source-library, read-paper, ebook-collection, thriller, mystery","source-library (#5), read-paper (#35), ebook-collection (#64), thriller (#8), mystery (#27)",read,,,,1,0
52387141,The Underground Railroad,Colson Whitehead,"Whitehead, Colson",,"=""0708898408""","=""9780708898406""",5,4.06,Fleet,Paperback,366,2017,2016,2022/06/01,2021/02/06,"paper-collection, read-paper, ebook-collection, trigger-warning, historical-fiction, five-star","paper-collection (#160), read-paper (#71), ebook-collection (#180), trigger-warning (#3), historical-fiction (#7), five-star (#39)",read,,,,1,0
193781998,The Husbands,Holly Gramazio,"Gramazio, Holly",,"=""0385550618""","=""9780385550611""",0,3.52,Doubleday,Hardcover,352,2024,2024,,2024/10/03,"to-read, ebook-collection","to-read (#377), ebook-collection (#232)",to-read,,,,0,0
10410265,The Three Musketeers (Vintage Classics),Alexandre Dumas,"Dumas, Alexandre",,"=""0099528835""","=""9780099528838""",0,4.10,Vintage,Paperback,625,2013,1844,,2024/07/24,"to-read, paper-collection","to-read (#328), paper-collection (#26)",to-read,,,,0,0
43521785,"Bringing Down the Duke (A League of Extraordinary Women, #1)",Evie Dunmore,"Dunmore, Evie",,"=""1984805681""","=""9781984805683""",0,3.93,Berkley,Paperback,335,2019,2019,,2021/11/22,"to-read, ebook-collection","to-read (#174), ebook-collection (#58)",to-read,,,,0,0
56382342,Vanderbilt: The Rise and Fall of an American Dynasty,Anderson Cooper,"Cooper, Anderson",Katherine Howe,"=""0062964615""","=""9780062964618""",0,3.81,Harper,Hardcover,317,2021,2021,,2021/11/03,"to-read, ebook-collection","to-read (#160), ebook-collection (#100)",to-read,,,,0,0
123206645,The Fury,Alex Michaelides,"Michaelides, Alex",,"=""125075898X""","=""9781250758989""",0,3.36,Celadon Books,Hardcover,298,2024,2024,,2024/01/30,"to-read, ebook-collection","to-read (#272), ebook-collection (#137)",to-read,,,,0,0
13554846,"Starstruck (Fame Game, #2)",Lauren Conrad,"Conrad, Lauren",,"=""""","=""""",0,3.63,HarperCollins,Hardcover,352,2012,2012,,2024/07/24,"to-read, paper-collection","to-read (#303), paper-collection (#147)",to-read,,,,0,0
57977143,The Housewives: The Real Story Behind the Real Housewives,Brian Moylan,"Moylan, Brian","Zachary Wagman, Meghan Houser","=""""","=""""",2,3.46,Macmillan Audio,Audible Audio,11,2021,2021,2021/11/22,2021/06/15,"ebook-collection, read-audiobooks","ebook-collection (#164), read-audiobooks (#12)",read,,,,1,0
58713391,Book Lovers,Emily Henry,"Henry, Emily",,"=""0241995345""","=""9780241995341""",0,4.11,Penguin,Paperback,377,2022,2022,,2022/05/15,"to-read, paper-collection, ebook-collection","to-read (#207), paper-collection (#152), ebook-collection (#169)",to-read,,,,0,0
29868610,Scrappy Little Nobody,Anna Kendrick,"Kendrick, Anna",,"=""1501117203""","=""9781501117206""",1,3.85,Gallery Books,Hardcover,275,2016,2016,2017/01/01,2020/04/07,"read-ebooks, people","read-ebooks (#13), people (#4)",read,,,,1,0
52021504,The Flatshare,Beth O'Leary,"O'Leary, Beth",,"=""1787474410""","=""9781787474413""",4,3.99,Quercus,Paperback,394,2020,2019,2023/02/03,2020/09/02,"paper-collection, read-paper, romance, light","paper-collection (#91), read-paper (#40), romance (#4), light (#6)",read,,,,1,0
24809362,Big Little Lies,Liane Moriarty,"Moriarty, Liane",,"=""1743533063""","=""9781743533062""",5,4.31,Pan Macmillan,Paperback,472,2015,2014,,2020/04/07,"read-paper, paper-collection, mystery, five-star","read-paper (#23), paper-collection (#49), mystery (#5), five-star (#8)",read,,,,1,0
50881529,"The Girl Who Lived Twice (Millennium, #6)",David Lagercrantz,"Lagercrantz, David",,"=""0857056395""","=""9780857056399""",0,3.76,MacLehose Press,Paperback,448,2020,2019,,2020/04/13,"to-read, ebook-collection","to-read (#57), ebook-collection (#56)",to-read,,,,0,0
41304176,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Carreyrou, John",,"=""""","=""""",5,4.41,Picador,Paperback,339,2019,2018,2021/03/25,2020/04/07,"favorites, read-paper, paper-collection, ebook-collection, five-star, crime, people","favorites (#6), read-paper (#67), paper-collection (#146), ebook-collection (#165), five-star (#19), crime (#2), people (#22)",read,,,,1,0
